附属设施(巡查项目) ||| 巡查子项目 ||| 通风系统(系统)
电容接触器良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
转动灵活(内容) ||| 巡检方法 ||| 观察(巡检方法)
牢固可靠(内容) ||| 巡检方法 ||| 观察(巡检方法)
标号清晰(内容) ||| 巡检方法 ||| 观察(巡检方法)
外表清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
转动灵活(内容) ||| 巡检方法 ||| 观察(巡检方法)
牢固可靠(内容) ||| 巡检方法 ||| 观察(巡检方法)
标号清晰(内容) ||| 巡检方法 ||| 观察(巡检方法)
压接良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
无噪音(内容) ||| 巡检方法 ||| 观察(巡检方法)
无过热现象(内容) ||| 巡检方法 ||| 观察(巡检方法)
触点完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
外表清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
固定可靠(内容) ||| 巡检方法 ||| 观察(巡检方法)
显示正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
外表清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
保持清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
无松动(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
运行正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
保持清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
温度指示值正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
保持整洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
无积水(内容) ||| 巡检方法 ||| 观察(巡检方法)
无易燃易爆物品(内容) ||| 巡检方法 ||| 观察(巡检方法)
无有腐蚀性气体(内容) ||| 巡检方法 ||| 观察(巡检方法)
自然通风良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
排风设施正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
内部灯光正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
无渗水(内容) ||| 巡检方法 ||| 观察(巡检方法)
无漏水(内容) ||| 巡检方法 ||| 观察(巡检方法)
无积水(内容) ||| 巡检方法 ||| 观察(巡检方法)
完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
整洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
安装牢固(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无异物堵塞(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观情况正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
水位情况良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
铅封情况正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
阀门位置正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
完整(内容) ||| 巡检方法 ||| 观察(巡检方法)
标识清晰(内容) ||| 巡检方法 ||| 观察(巡检方法)
控制面板显示正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
备用电压正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
接通状态(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观完好及工作状态正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
播放正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
通话无杂音(内容) ||| 巡检方法 ||| 观察(巡检方法)
通话清晰(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无插孔(内容) ||| 巡检方法 ||| 观察(巡检方法)
无断线(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
通话无杂音(内容) ||| 巡检方法 ||| 观察(巡检方法)
通话清晰(内容) ||| 巡检方法 ||| 观察(巡检方法)
断线(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
位置正确(内容) ||| 巡检方法 ||| 观察(巡检方法)
指示读数正确(内容) ||| 巡检方法 ||| 观察(巡检方法)
数量符合要求(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观完整(内容) ||| 巡检方法 ||| 观察(巡检方法)
顺畅(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作状态正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观完整(内容) ||| 巡检方法 ||| 观察(巡检方法)
密封良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
无歪斜(内容) ||| 巡检方法 ||| 观察(巡检方法)
无脱落(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作状态无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
分机工作无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作状态无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
风扇及滤网清洁无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
硬盘空间利用率不大于70%(内容) ||| 巡检方法 ||| 观察(巡检方法)
外设接口完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
灰度满足视频监控要求(内容) ||| 巡检方法 ||| 观察(巡检方法)
清晰度满足视频监控要求(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作状态无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
设备整洁无积尘(内容) ||| 巡检方法 ||| 观察(巡检方法)
镜头整洁无积尘(内容) ||| 巡检方法 ||| 观察(巡检方法)
安装牢固(内容) ||| 巡检方法 ||| 观察(巡检方法)
滤网清洁无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
风扇无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
硬盘空间利用率不大于70%(内容) ||| 巡检方法 ||| 观察(巡检方法)
外设接口完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
滤网清洁无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
风扇无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
硬盘空间利用率不大于70%(内容) ||| 巡检方法 ||| 观察(巡检方法)
外设接口完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
滤网无积尘(内容) ||| 巡检方法 ||| 观察(巡检方法)
风扇无积尘(内容) ||| 巡检方法 ||| 观察(巡检方法)
通风散热良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
整洁无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
蓄电池电压满足功能要求(内容) ||| 巡检方法 ||| 观察(巡检方法)
蓄电池容量满足功能要求(内容) ||| 巡检方法 ||| 观察(巡检方法)
防静电设施完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
防尘设施完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
焊点无漏(内容) ||| 巡检方法 ||| 观察(巡检方法)
清洁无异物(内容) ||| 巡检方法 ||| 观察(巡检方法)
无漏风(内容) ||| 巡检方法 ||| 观察(巡检方法)
通畅(内容) ||| 巡检方法 ||| 观察(巡检方法)
无锈蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
安装准确(内容) ||| 巡检方法 ||| 观察(巡检方法)
安装牢固(内容) ||| 巡检方法 ||| 观察(巡检方法)
转动顺畅(内容) ||| 巡检方法 ||| 观察(巡检方法)
无损坏(内容) ||| 巡检方法 ||| 观察(巡检方法)
无锈蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
无污渍(内容) ||| 巡检方法 ||| 观察(巡检方法)
损坏(内容) ||| 巡检方法 ||| 观察(巡检方法)
无松动(内容) ||| 巡检方法 ||| 观察(巡检方法)
密封无泄漏(内容) ||| 巡检方法 ||| 观察(巡检方法)
完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
无泄漏(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无锈蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
无油漆剥落(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
表面清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
表面清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
表面清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
表面清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
无丢失(内容) ||| 巡检方法 ||| 观察(巡检方法)
无损坏(内容) ||| 巡检方法 ||| 观察(巡检方法)
位置端正(内容) ||| 巡检方法 ||| 观察(巡检方法)
安装牢固(内容) ||| 巡检方法 ||| 观察(巡检方法)
无积灰(内容) ||| 巡检方法 ||| 观察(巡检方法)
表面清洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
无堵塞(内容) ||| 巡检方法 ||| 观察(巡检方法)
无淤泥(内容) ||| 巡检方法 ||| 观察(巡检方法)
畅通(内容) ||| 巡检方法 ||| 观察(巡检方法)
无锈蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
无松动(内容) ||| 巡检方法 ||| 观察(巡检方法)
无锈蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
无松动(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无堵塞(内容) ||| 巡检方法 ||| 观察(巡检方法)
无淤泥(内容) ||| 巡检方法 ||| 观察(巡检方法)
畅通(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无脱焊(内容) ||| 巡检方法 ||| 观察(巡检方法)
无断裂(内容) ||| 巡检方法 ||| 观察(巡检方法)
无弯曲(内容) ||| 巡检方法 ||| 观察(巡检方法)
无掉漆(内容) ||| 巡检方法 ||| 观察(巡检方法)
无锈蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
无松动(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无脱焊(内容) ||| 巡检方法 ||| 观察(巡检方法)
无断裂(内容) ||| 巡检方法 ||| 观察(巡检方法)
无弯曲(内容) ||| 巡检方法 ||| 观察(巡检方法)
无掉漆(内容) ||| 巡检方法 ||| 观察(巡检方法)
无锈蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
墙面整洁(内容) ||| 巡检方法 ||| 观察(巡检方法)
无垃圾和杂物碎片(内容) ||| 巡检方法 ||| 观察(巡检方法)
无堆物占道(内容) ||| 巡检方法 ||| 观察(巡检方法)
通畅(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作状态良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
无损坏(内容) ||| 巡检方法 ||| 观察(巡检方法)
运行正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
水位报警有效(内容) ||| 巡检方法 ||| 观察(巡检方法)
开关泵有效(内容) ||| 巡检方法 ||| 观察(巡检方法)
信号反馈正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
安装牢固卡死(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
接地装置牢靠(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作状态无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作状态无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
停运时水泵无倒转情况发生(内容) ||| 巡检方法 ||| 观察(巡检方法)
停运时止回阀门关闭时的响声正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
排水情况良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
运行振动正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
运行声音正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
运行电流正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
手动和自动启停有效(内容) ||| 巡检方法 ||| 观察(巡检方法)
无变形(内容) ||| 巡检方法 ||| 观察(巡检方法)
无缺损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无渗漏(内容) ||| 巡检方法 ||| 观察(巡检方法)
无腐蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
无漏筋(内容) ||| 巡检方法 ||| 观察(巡检方法)
无裂缝(内容) ||| 巡检方法 ||| 观察(巡检方法)
无变形(内容) ||| 巡检方法 ||| 观察(巡检方法)
无渗漏水(内容) ||| 巡检方法 ||| 观察(巡检方法)
无破损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无变形(内容) ||| 巡检方法 ||| 观察(巡检方法)
无缺损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无腐蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
无渗漏(内容) ||| 巡检方法 ||| 观察(巡检方法)
封堵完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
无渗漏(内容) ||| 巡检方法 ||| 观察(巡检方法)
无变形(内容) ||| 巡检方法 ||| 观察(巡检方法)
无缺损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无裂缝(内容) ||| 巡检方法 ||| 观察(巡检方法)
无腐蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
无变形(内容) ||| 巡检方法 ||| 观察(巡检方法)
无缺损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无堵塞(内容) ||| 巡检方法 ||| 观察(巡检方法)
无污浊(内容) ||| 巡检方法 ||| 观察(巡检方法)
无覆盖异(内容) ||| 巡检方法 ||| 观察(巡检方法)
完好(内容) ||| 巡检方法 ||| 观察(巡检方法)
无异常进入特征(内容) ||| 巡检方法 ||| 观察(巡检方法)
不影响交通(内容) ||| 巡检方法 ||| 观察(巡检方法)
已打开井口有防护及警示措施(内容) ||| 巡检方法 ||| 观察(巡检方法)
无变形(内容) ||| 巡检方法 ||| 观察(巡检方法)
无缺损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无堵塞(内容) ||| 巡检方法 ||| 观察(巡检方法)
无覆盖异(内容) ||| 巡检方法 ||| 观察(巡检方法)
通畅(内容) ||| 巡检方法 ||| 观察(巡检方法)
无异常进入特征(内容) ||| 巡检方法 ||| 观察(巡检方法)
安装牢固(内容) ||| 巡检方法 ||| 观察(巡检方法)
无受损(内容) ||| 巡检方法 ||| 观察(巡检方法)
无锈蚀(内容) ||| 巡检方法 ||| 观察(巡检方法)
运转声音正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
运行时的振动符合要求(内容) ||| 巡检方法 ||| 观察(巡检方法)
信号反馈情况正常(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作状态无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
外观无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
工作状态无异常(内容) ||| 巡检方法 ||| 观察(巡检方法)
接地装置牢靠(内容) ||| 巡检方法 ||| 观察(巡检方法)
状况良好(内容) ||| 巡检方法 ||| 观察(巡检方法)
运行时应保持淹没深度，保持垂直安装，潜水深度在0.2m~0.3m之间(内容) ||| 巡检方法 ||| 观察(巡检方法)
泵体连接管道和机座紧固，无渗漏(内容) ||| 巡检方法 ||| 观察(巡检方法)
水泵外观无锈蚀现象(内容) ||| 巡检方法 ||| 观察(巡检方法)
无脏污(内容) ||| 巡检方法 ||| 观察(巡检方法)
外壳接地完好(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
保持清洁(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
绝缘良好(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
色标清晰(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
压接良好(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
无堵塞(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
无淤泥(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
畅通(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
无锈蚀(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
无松动(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
无锈蚀(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
无松动(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
无破(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
无裂缝(内容) ||| 巡检周期 ||| 1次/半年(巡检周期)
无锈蚀(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
齐全无损坏(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
安装牢固(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
外观无破损(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无变形(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无缺损(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无裂缝(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无腐蚀(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
外观无异常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
工作状态无异常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
外观无异常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
工作状态无异常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
接地装置牢靠(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
满足工作要求(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
状况良好(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
水泵外观无锈蚀现象(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无脏污(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
外观无异常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
工作状态无异常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
外观无异常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
工作状态无异常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
运行正常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无损坏(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
工作状态良好(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无锈蚀(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无掉漆(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无弯曲(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无断裂(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无脱焊(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无松动(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无锈蚀(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无掉漆(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无弯曲(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无断裂(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无脱焊(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
通畅(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
安装牢固(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
